,x,y,v,Subtypes,colors,scatter_x,scatter_y,avg_imp,fold_00_imp,fold_01_imp,fold_02_imp,fold_03_imp,fold_04_imp,fold_05_imp,fold_06_imp,fold_07_imp,fold_08_imp,fold_09_imp
114,9,5,k__Bacteria|p__Tenericutes|c__Mollicutes|o__Entomoplasmatales|f__Spiroplasmataceae|g__Spiroplasma|s__Spiroplasma_unclassified,cluster_03,#00fff6,3.3458467,3.069977,-0.32500218890245924,-0.36359016585233844,-0.30718537164551113,-0.35837358892793103,-0.3060527144958483,-0.36387576520706805,-0.337037042686996,-0.25586434645355155,-0.31574966656330605,-0.3650159029452261,-0.2772773242468152
115,10,5,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname|s__Bacteroides_pectinophilus,cluster_01,#fcf500,3.513055,3.0475738,0.2356432385297605,0.4609182624420509,0.3595430873252952,0.3705499111287312,0.038290339363592364,0.30692907460371543,0.27334218738913074,0.16316215381595106,0.17362024821785926,0.325594129069977,-0.11551700805869838
116,11,5,k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Desulfurobacteriaceae|g__Desulfurobacteriaceae_unclassified,cluster_05,#ee00ff,3.6436343,3.14855,-0.3306125448824562,-0.36426717265823594,-0.3294412552074143,-0.3795008609014494,-0.31509861838736836,-0.3642674674295523,-0.33433458320629533,-0.2706622863848189,-0.3117663357909076,-0.36193448241357534,-0.274852386444945
117,12,5,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Asticcacaulis|s__Asticcacaulis_unclassified,cluster_02,#08ff00,3.9937198,3.2110796,-0.3347386743006114,-0.3680037438583776,-0.33166980722269523,-0.38342796709624066,-0.3151021509533265,-0.3709956418892139,-0.34448452536621327,-0.27165328322329463,-0.3187404519115267,-0.36504574181352273,-0.2782634296717019
118,13,5,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_saprophyticus,cluster_03,#00fff6,4.5908794,3.495322,0.09024754391923576,0.2898759327615316,0.2125038976410099,0.07290538824499772,0.16450749053230795,0.013786201516344871,0.17539000434971017,-0.2716395870808252,-0.028120764392769573,0.18552823233306465,0.08773864328698533
119,14,5,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia|s__Scardovia_wiggsiae,cluster_03,#00fff6,4.7438917,3.526338,0.035464576802318175,0.0807119724339236,0.09068019744783044,0.14194063656441294,0.08535461840720727,-0.03300150464345932,0.1344127426098022,-0.27300419124464514,0.010353022923518439,0.16509613598130607,-0.047897862456714756
120,15,5,k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter|s__Campylobacter_hominis,cluster_02,#08ff00,6.1463585,3.3745344,-0.3348828731230079,-0.36847889804117556,-0.33177477181144294,-0.384021287700195,-0.31508014554288455,-0.3710460815264479,-0.3444032712088129,-0.2716779352816028,-0.31864313433386166,-0.36524842252638595,-0.2784547832572692
121,16,5,k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales|f__Chlamydiaceae|g__Chlamydophila|s__Chlamydophila_unclassified,cluster_02,#08ff00,6.229155,3.4146454,-0.31472358335673006,-0.34552900518146334,-0.3133024145834417,-0.35264397430457767,-0.28212428465258865,-0.3467557093464821,-0.3215458376728918,-0.2716395870808252,-0.29884503805136964,-0.34922826600217677,-0.26562171669148377
122,17,5,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_unclassified,cluster_03,#00fff6,7.3389783,3.884312,-0.21565682379642967,-0.23450684558045098,-0.17091894533936325,-0.29193731125061295,-0.20409403863546888,-0.23431563448219456,-0.22680680493252453,-0.19772733234538803,-0.1846805174968339,-0.2340291074331989,-0.1775517004682609
123,18,5,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_anginosus,cluster_03,#00fff6,8.044509,3.8360162,-0.2730096366611847,-0.2853303809031857,-0.2674753571318334,-0.3139183832642766,-0.2472220902120716,-0.29806855242421554,-0.23660126506091128,-0.24480720051169103,-0.2639642488415725,-0.3109783627962439,-0.2617305254658462
124,19,5,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis,cluster_03,#00fff6,8.113331,3.8564882,-0.243587948781029,-0.2817062630074905,-0.23680928548907493,-0.2801724033108191,-0.21366550742344148,-0.2432092866975164,-0.18109911210758692,-0.2314351143088164,-0.24700123372446767,-0.25889630628659455,-0.26188497545448164
125,20,5,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri,cluster_03,#00fff6,9.465312,4.3123765,-0.2914354837789493,-0.28993592896101683,-0.28262680186565675,-0.3249852624307973,-0.2588232274880095,-0.321810588934934,-0.2966000384275233,-0.27225990574327397,-0.27801080235297626,-0.3318158516708966,-0.2574864299144082
126,0,6,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii,cluster_01,#fcf500,1.1275365,4.02572,0.9040527326572487,0.9942736291999373,1.0228608127759327,0.9532143594879451,0.8968434351249605,0.897793319767748,0.9934664759702112,0.7026626858541205,0.7700520946877962,0.9458429683440294,0.8635175453598078
127,1,6,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes,cluster_01,#fcf500,1.255412,4.1200943,0.4101224622657812,0.48880490325976034,0.47113714548901275,0.5493672503438313,0.304075812407178,0.5236562888817636,0.35886890042221303,0.26263757592839615,0.3105435827952968,0.3704984113696828,0.46163475176067686
128,2,6,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans,cluster_02,#08ff00,1.3002911,4.037731,1.8707965882824644,2.1447380886292517,1.5687915420831529,2.2006879304605587,1.9294884906857666,1.8938401229563793,1.280531827919461,2.0217047127892003,2.5981827427041573,1.9892452107026573,1.0807552138940604
129,3,6,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena,cluster_01,#fcf500,1.7854215,3.7733164,0.7334021021524049,1.0181788459252388,0.7266265336318087,0.8027981890909485,0.6308747812190152,0.7621775041076619,0.7264497101060458,0.5284824243788456,0.7634897235939221,0.7671098272396998,0.6078334822308635
130,4,6,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_albus,cluster_01,#fcf500,2.1277933,3.6437778,-0.0598796649439759,-0.06972281973795973,-0.06651964407533013,-0.05453276909099525,-0.042068740237824497,-0.059217289073244576,-0.15631120792486375,-0.018153299278688334,-0.07320986542432363,-0.021541357804001605,-0.03751965679252752
131,5,6,k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_unclassified,cluster_01,#fcf500,2.3469608,3.673066,0.2635254902489758,0.36866878631108496,0.27619523155168674,0.30148704057852976,0.15606225064625998,0.3523285750593812,0.2084386035424206,0.21958543998965874,0.16820387193728217,0.44809033272808685,0.13619477014536713
132,6,6,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Oxalobacter|s__Oxalobacter_formigenes,cluster_01,#fcf500,2.5671442,3.4369388,0.052182297704015626,-0.03196308348316744,0.009369715732744961,-0.012113351268788266,-0.05169842655664776,0.020565156829624537,0.06714270256848447,0.4815889171762938,-0.09311818003942045,0.1726210216674504,-0.04057149558641799
133,7,6,k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii,cluster_02,#08ff00,2.807669,3.5295084,0.37863933999369065,0.4735281784514556,0.3940822534251597,0.5149569127316408,0.21739136021634095,0.5905229224572156,0.3724799288059355,0.2652758342398818,0.5458191127193357,0.26175182349740167,0.15058507339253957
